CREATED_AT,VOUCHER_BASED_REFILL,SEGMENTATION_ID,AMOUNT,QYT,REFILL_TYPE
6/2/2020,1,V300,136500,455,PIN_BASED
6/5/2020,1,V100,519300,5193,PIN_BASED
6/9/2020,0,V2M,14000,7,PIN_LESS_BASED
6/21/2020,1,V150,9750,65,PIN_BASED
6/24/2020,0,V100,26200,262,PIN_LESS_BASED
7/1/2020,1,V630,514200,857,PIN_BASED
7/9/2020,1,V050,746350,14927,PIN_BASED
7/29/2020,0,V2M,2000,1,PIN_LESS_BASED
8/11/2020,1,V010,555260,55526,PIN_BASED
8/13/2020,0,V010,2310,231,PIN_LESS_BASED
8/16/2020,1,V100,394400,3944,PIN_BASED
8/18/2020,0,V630,21000,35,PIN_LESS_BASED
8/22/2020,1,V080,480,6,PIN_BASED
8/24/2020,0,V300,16800,56,PIN_LESS_BASED
8/28/2020,1,V010,564680,56468,PIN_BASED
9/6/2020,0,V100,13400,134,PIN_LESS_BASED
9/8/2020,0,V150,900,6,PIN_LESS_BASED
9/8/2020,0,V300,8100,27,PIN_LESS_BASED
9/26/2020,0,V010,2770,277,PIN_LESS_BASED
9/26/2020,1,V300,143100,477,PIN_BASED
9/27/2020,0,V200,10600,53,PIN_LESS_BASED
9/29/2020,1,V050,1014650,20293,PIN_BASED
6/1/2020,0,V2M,6000,3,PIN_LESS_BASED
6/2/2020,0,V020,7440,372,PIN_LESS_BASED
6/4/2020,1,V080,560,7,PIN_BASED
6/7/2020,1,V050,426450,8529,PIN_BASED
6/9/2020,1,V050,640300,12806,PIN_BASED
6/11/2020,0,V2M,8000,4,PIN_LESS_BASED
6/13/2020,0,V300,12000,40,PIN_LESS_BASED
6/14/2020,1,V150,10500,70,PIN_BASED
6/16/2020,0,V050,16250,325,PIN_LESS_BASED
6/24/2020,1,V630,582600,971,PIN_BASED
6/27/2020,1,V2M,18000,9,PIN_BASED
6/30/2020,1,V080,800,10,PIN_BASED
7/5/2020,1,V010,480590,48059,PIN_BASED
7/6/2020,1,V150,12900,86,PIN_BASED
7/7/2020,1,V100,574100,5741,PIN_BASED
7/17/2020,0,V020,7980,399,PIN_LESS_BASED
7/20/2020,1,V150,15300,102,PIN_BASED
7/24/2020,0,V100,25400,254,PIN_LESS_BASED
7/29/2020,1,V100,701200,7012,PIN_BASED
8/5/2020,1,V050,859700,17194,PIN_BASED
8/20/2020,1,V020,786800,39340,PIN_BASED
8/21/2020,0,V630,40200,67,PIN_LESS_BASED
8/24/2020,0,V100,24300,243,PIN_LESS_BASED
8/27/2020,0,ADJUSTMENT,8735,118,TUM_ADJUSTMENT
9/5/2020,0,V010,2460,246,PIN_LESS_BASED
9/15/2020,1,V100,601400,6014,PIN_BASED
9/17/2020,0,V2M,2000,1,PIN_LESS_BASED
9/20/2020,1,V200,71400,357,PIN_BASED
10/2/2020,1,V300,135300,451,PIN_BASED
6/4/2020,1,V300,163500,545,PIN_BASED
6/5/2020,0,V150,750,5,PIN_LESS_BASED
6/15/2020,0,V010,2920,292,PIN_LESS_BASED
6/17/2020,1,S030,270,9,PIN_BASED
6/19/2020,0,ADJUSTMENT,5793,121,TUM_ADJUSTMENT
6/30/2020,1,V050,784200,15684,PIN_BASED
7/6/2020,1,V020,826560,41328,PIN_BASED
7/15/2020,0,V020,8080,404,PIN_LESS_BASED
7/17/2020,0,V2M,6000,3,PIN_LESS_BASED
7/26/2020,0,V100,17100,171,PIN_LESS_BASED
8/19/2020,0,V050,15350,307,PIN_LESS_BASED
8/20/2020,1,V300,190800,636,PIN_BASED
8/22/2020,0,V150,750,5,PIN_LESS_BASED
9/11/2020,0,V150,1050,7,PIN_LESS_BASED
9/18/2020,0,V010,3080,308,PIN_LESS_BASED
9/22/2020,0,V2M,10000,5,PIN_LESS_BASED
6/1/2020,0,V050,10950,219,PIN_LESS_BASED
6/9/2020,0,ADJUSTMENT,8380,177,TUM_ADJUSTMENT
6/26/2020,0,V630,39600,66,PIN_LESS_BASED
7/1/2020,0,ADJUSTMENT,8189,125,TUM_ADJUSTMENT
7/4/2020,1,V020,796880,39844,PIN_BASED
7/12/2020,1,V020,636020,31801,PIN_BASED
7/12/2020,1,V080,560,7,PIN_BASED
7/13/2020,0,V300,8400,28,PIN_LESS_BASED
7/25/2020,0,ADJUSTMENT,5042,98,TUM_ADJUSTMENT
7/29/2020,1,V080,720,9,PIN_BASED
7/30/2020,0,V010,2360,236,PIN_LESS_BASED
7/31/2020,0,V020,6980,349,PIN_LESS_BASED
8/7/2020,0,V010,2620,262,PIN_LESS_BASED
